id,name,slug,description,articles,caseStudies,nodes,projects,total
wp.tag.394,refactoring,refactoring,,0,0,2,0,2
wp.tag.396,release management,release-management,,0,0,7,0,7
wp.tag.357,resume-as-code,resume-as-code,,0,0,4,0,4
wp.tag.258,reusable,reusable,,0,0,1,0,1
wp.tag.423,scope creep,scope-creep,,0,0,2,0,2
wp.tag.410,separation of concerns,separation-of-concerns,,0,0,1,0,1
wp.tag.346,source control,source-control,,0,0,2,0,2
wp.tag.307,structured content,structured-content,,2,0,4,0,6
wp.tag.421,system thinking,system-thinking,,2,0,9,0,11
0f611e4f-d4d4-47e5-9ebe-4a44714212ca,table,table,,2,0,1,0,3
wp.tag.309,taxonomy,taxonomy,,0,0,2,1,3
wp.tag.274,tech debt,tech-debt,,1,0,4,0,5
wp.tag.451,tooling,tooling,,0,0,2,0,2
wp.tag.12,ux,ux,,1,1,2,0,4
wp.tag.393,version control,version-control,,1,0,2,0,3
wp.tag.247,wcag,wcag,,0,1,0,1,2
wp.tag.242,workflow,workflow,,1,1,0,0,2
